cNum,year,semester,AssignmentID,dueDate,text,points
CS171,2017,Fall,Assignment1,2017/9/15 23:59,Use ArrayList to program a Blackjack game.,100
CS171,2017,Fall,Assignment2,2017/9/28 23:59,Use stacks to implement a backtracking algorithm to solve N-Queens problem.,100
CS171,2017,Fall,Assignment3,2017/10/8 23:59,Use stacks and queues to solve a maze traversal problem.,100
CS171,2017,Fall,Assignment4,2017/10/20 23:59,Implement bubble sort and a non-recursive version of mergesort.,100
CS171,2017,Fall,Midterm1,2017/10/24 8:30,First midterm of the the course.,60
CS171,2017,Fall,Assignment5,2017/11/14 23:59,Implement a hash table to count the number of times a word appears in a document.,100
CS171,2017,Fall,Midterm2,2017/11/21 8:30,Second midterm of the course,60
CS171,2017,Fall,Final Project,2017/12/6 11:59,Use a binary search tree to find Twitter Contents,150
CS171,2017,Fall,Bonus Quiz,2017/12/8 23:59,Solve some algorithm analysis questions,10
CS171,2017,Fall,Final Exam,2017/12/13 10:00,Last exam!,100
CS171,2018,Fall,Assignment1,2018/9/13 23:59,Use ArrayList to program a Blackjack game.,100
CS171,2018,Fall,Assignment2,2018/9/29 23:59,Use stacks to implement a backtracking algorithm to solve N-Queens problem.,100
CS171,2018,Fall,Assignment3,2018/10/10 23:59,Use stacks and queues to solve a maze traversal problem.,100
CS171,2018,Fall,Assignment4,2018/11/1 23:59,Implement bubble sort and a non-recursive version of mergesort.,100
CS171,2018,Fall,Midterm1,2018/10/22 8:30,First midterm of the the course.,60
CS171,2018,Fall,Assignment5,2018/11/13 23:59,Implement a hash table to count the number of times a word appears in a document.,100
CS171,2018,Fall,Midterm2,2018/11/19 8:30,Second midterm of the course,60
CS171,2018,Fall,Final Project,2018/12/5 11:59,Use a binary search tree to find Twitter Contents,150
CS171,2018,Fall,Bonus Quiz,2019/12/6 23:59,Solve some algorithm analysis questions,10
CS171,2018,Fall,Final Exam,2019/12/8 8:00,Last exam!,100
CS377,2019,Spring,Homework1,2019/2/7 10:00,Create an ER diagram for the Emory College University Database.,100
CS377,2019,Spring,Homework2,2019/2/14 10:00,Design a relational data model for various ER models of the university,100
CS377,2019,Spring,Homework3,2019/2/26 10:00,Formulate relational algebra queries,100
CS377,2019,Spring,Midterm,2019/3/21 10:00,Midterm for the course,100
CS377,2019,Spring,Homework4,2019/3/26 23:59,Answer some SQL queries on the supplier project database.,100
CS377,2019,Spring,Homework5,2019/4/4 23:59,Answer more advanced queries on the supplier project database.,100
CS377,2019,Spring,Homework6,2019/4/18 23:59,Write a JDBC application that can execute a SQL query on a selected database.,100
