Student_Identifier,cNum,year,semester,CourseGrade
A1Kcf8Z1u3,CS171,2017,Fall,C
Rjuqf7P3nX,CS171,2017,Fall,A
ECk9NPOnC1,CS171,2017,Fall,B-
0nYGfSzH52,CS171,2017,Fall,C-
8BdlWK9mvn,CS171,2017,Fall,B
hEp6l3yRkB,CS171,2017,Fall,B
vrSPzDaBog,CS171,2017,Fall,D+
yVEE6glmyP,CS171,2017,Fall,C+
4D8d5NFQey,CS171,2017,Fall,A
tmil3gYi8I,CS171,2017,Fall,B-
stB2damzF1,CS171,2017,Fall,C+
Q5zYQSo07T,CS171,2017,Fall,D+
WJrWAidLZ5,CS171,2018,Fall,C
l8fb19WIds,CS171,2018,Fall,D
DlK1RDF6DZ,CS171,2018,Fall,B
s8jX7v1r9L,CS171,2018,Fall,C+
qSaWq5Khmt,CS171,2018,Fall,A
JEdJCRTwMu,CS171,2018,Fall,A
LbOIaCTwOR,CS171,2018,Fall,A
F8SGo1rfbJ,CS171,2018,Fall,A-
aDQQtN7BnB,CS171,2018,Fall,C
w4xX1lvTG7,CS171,2018,Fall,D+
ixYZCGpl5D,CS171,2018,Fall,D+
iep724zbM3,CS171,2018,Fall,A
rRMSF0EH7d,CS171,2018,Fall,B
EWUS9AaKts,CS171,2018,Fall,B
A1Kcf8Z1u3,CS377,2019,Spring,A
Rjuqf7P3nX,CS377,2019,Spring,A
ECk9NPOnC1,CS377,2019,Spring,C
0nYGfSzH52,CS377,2019,Spring,A
8BdlWK9mvn,CS377,2019,Spring,B
hEp6l3yRkB,CS377,2019,Spring,D
vrSPzDaBog,CS377,2019,Spring,A
yVEE6glmyP,CS377,2019,Spring,B
4D8d5NFQey,CS377,2019,Spring,B
tmil3gYi8I,CS377,2019,Spring,A
stB2damzF1,CS377,2019,Spring,B+
Q5zYQSo07T,CS377,2019,Spring,A
s8jX7v1r9L,CS377,2019,Spring,D+
qSaWq5Khmt,CS377,2019,Spring,C-
JEdJCRTwMu,CS377,2019,Spring,B+
LbOIaCTwOR,CS377,2019,Spring,C-
F8SGo1rfbJ,CS377,2019,Spring,B-
aDQQtN7BnB,CS377,2019,Spring,C-
w4xX1lvTG7,CS377,2019,Spring,D+
ixYZCGpl5D,CS377,2019,Spring,B+
tmt3aPs20s,CS171,2019,Fall,B+
QrcaEXMLnx,CS171,2019,Fall,A
VxX7KCsBEi,CS171,2019,Fall,B+
PiQvBSPut9,CS171,2019,Fall,B+
MvygDkC5GZ,CS171,2019,Fall,B-
pSE2USVUGe,CS171,2019,Fall,C-
uZfhzJCf3Q,CS171,2019,Fall,C
2ruNWPmicg,CS171,2019,Fall,A
5xTn7laQAz,CS171,2019,Fall,D
UPLEFa48ob,CS171,2019,Fall,A
g0aGB2MNq6,CS171,2019,Fall,A
vMCwbZJ5UI,CS171,2019,Fall,D+
P80TDV5kec,CS171,2019,Fall,A
UX8dL9oWOH,CS171,2019,Fall,D+
erGZXNCSa8,CS171,2019,Fall,A-
